scale,tiles,n,m,run,seed,algorithm,objective_type,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,100,3,3,13,1242,stochastic_greedy,square,20,2.907803305,20,19,100,,,,,
large,100,3,3,13,1242,genetic_greedy,square,17,240.35941385,17,17,100,28349,753,67195,0.026561783484426258,89.23638778220452
large,100,3,3,13,1242,genetic_stochastic,square,18,468.354576589,18,18,100,28386,1781,153254,0.06274219685760586,86.04941044357103
large,100,3,3,14,1342,greedy,square,18,3.000092313,18,18,100,,,,,
large,100,3,3,14,1342,stochastic_greedy,square,20,2.828086242,19,20,100,,,,,
large,100,3,3,14,1342,genetic_greedy,square,17,371.005046164,17,17,100,28352,1277,111795,0.04504091422121896,87.54502740798748
large,100,3,3,15,1442,greedy,square,20,3.827376798,19,20,100,,,,,
large,100,3,3,15,1442,stochastic_greedy,square,20,3.767178197,19,20,100,,,,,
large,100,3,3,15,1442,genetic_greedy,square,18,297.433964781,18,18,100,28445,778,71417,0.02735102830022851,91.79562982005142
large,100,3,3,15,1442,genetic_stochastic,square,18,515.270629734,18,18,100,28455,2015,151141,0.07081356527850993,75.00794044665012
large,100,3,3,16,1542,greedy,square,19,3.862340459,18,19,100,,,,,
large,100,3,3,16,1542,stochastic_greedy,square,20,4.264899196,19,20,100,,,,,
large,100,3,3,16,1542,genetic_greedy,square,17,178.992871858,17,17,100,28316,464,41177,0.016386495267693178,88.74353448275862
large,100,3,3,16,1542,genetic_stochastic,square,18,284.847936605,18,18,100,28330,797,69426,0.028132721496646664,87.10915934755333
large,100,3,3,17,1642,greedy,square,19,3.943437192,18,19,100,,,,,
large,100,3,3,17,1642,stochastic_greedy,square,20,3.895888219,20,19,100,,,,,
large,100,3,3,17,1642,genetic_greedy,square,17,264.763062576,17,17,100,28201,779,70667,0.027623133931420872,90.71501925545572
large,100,3,3,18,1742,greedy,square,18,3.736933713,18,18,100,,,,,
large,100,3,3,18,1742,stochastic_greedy,square,19,3.585935069,19,19,100,,,,,
large,100,3,3,18,1742,genetic_greedy,square,18,256.484976323,17,18,100,28346,2663,72292,0.09394623580046567,27.146826886969585
large,100,3,3,18,1742,genetic_stochastic,square,18,359.078075785,18,18,100,28366,1155,99712,0.040717760699428895,86.33073593073593
large,100,3,3,19,1842,greedy,square,18,3.753240538,18,18,100,,,,,
large,100,3,3,19,1842,stochastic_greedy,square,20,3.905497399,20,19,100,,,,,
large,100,3,3,19,1842,genetic_greedy,square,18,302.761176921,17,18,100,28311,899,80521,0.03175444173642754,89.56729699666296
large,100,3,3,19,1842,genetic_stochastic,square,18,395.459979001,18,18,100,28262,1484,115394,0.05250866888401387,77.75876010781671
large,100,3,3,20,1942,greedy,square,18,3.782218525,18,18,100,,,,,
large,100,3,3,20,1942,stochastic_greedy,square,19,3.705945993,19,19,100,,,,,
large,100,3,3,20,1942,genetic_greedy,square,17,272.185863168,17,17,100,28416,825,75130,0.02903293918918919,91.06666666666666
large,100,3,3,20,1942,genetic_stochastic,square,18,413.191916035,18,18,100,28267,1686,132700,0.05964552304807726,78.70699881376038
